imdb_title_id,title,log_us_sale,log_cn_sale,comedy,acti_only,adv_only,act.adv,martial_arts,china_filming_location,genre_animation,genre_family,suicide,lgbtq,drug,blacklist_brad_pitt,time_travel,occult,nudity,magic,mpaa_r,taiwan,tibet,vigilantism,blacklist_richard_gere,anti_communism,individualism
tt0490204,Reign Over Me,16.92809086,-9.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt2679042,Hitman: Agent 47,16.92757815,-9.9999,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0276033,The Country Bears,16.92384305,-9.9999,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0117774,The Substitute,16.92381657,-9.9999,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
tt2436386,Project Almanac,16.92225817,-9.9999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0261289,Serving Sara,16.92026768,-9.9999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0356150,EuroTrip,16.91994262,-9.9999,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
tt1935179,Mud,16.91946626,-9.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0395972,North Country,16.91799411,-9.9999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0800308,Appaloosa,16.9177848,-9.9999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
tt0116324,Flirting with Disaster,16.91597537,-9.9999,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
tt1931435,The Big Wedding,16.91532934,-9.9999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0332712,My Baby's Daddy,16.91418256,-9.9999,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0437800,Akeelah and the Bee,16.91371478,-9.9999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0419946,The Marine,16.91352133,-9.9999,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0452702,Vacancy,16.91279689,-9.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt0218922,Original Sin,16.91228839,-9.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
tt1817273,The Place Beyond the Pines,16.91078738,-9.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt1305583,Our Family Wedding,16.90703258,-9.9999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0115862,The Chamber,16.90564643,-9.9999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt1555064,Country Strong,16.90523588,-9.9999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0407121,Pooh's Heffalump Movie,16.90485922,-9.9999,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1171222,Baggage Claim,16.90381294,-9.9999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0205461,Thomas and the Magic Railroad,16.90333829,-9.9999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt0119080,Eve's Bayou,16.9027639,-9.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
tt0117011,Maximum Risk,16.90228192,-9.9999,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
tt0118301,Dead Man on Campus,16.90219109,-9.9999,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
tt0119594,Twilight,16.9015367,-9.9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
